Brand,Name,Rating,Price
SUPERDRY,Vegan Body Spray - Moss Aqua Patchoul,3.8,₹200
SUPERDRY,Vegan Body & Hair Wash - Ceaderwood Mandar In Amber,4.6,₹200
AJMAL,Asher for Unisex - 12 ml,4.6,₹938
SUPERDRY,Sport Vegan Restart Hair & Body Wash,4,₹200
MUJI,Nail File With Cover,3.6,₹390
MUJI,Pet Pump Bottle 100ml,5,₹290
MUJI,Pet Pump Bottle 50ml,4.8,₹300
Tnw The Natural Wash,Multani Mitti Face Wash with Kashmiri Kesar,3.3,₹197
AJMAL,Sacred Love Parfum Deodorants,3.6,₹503
MUJI,Pet Bottle 280ml,3.5,₹250
MUJI,Polypropylene Scalp Care Brush,3.9,₹890
Vega,Handmade Graduated Black Dressing Hair Comb for Men and Women - Black - HMBC-102,4.1,₹155
MUJI,Passport Case,4.2,"₹1,192"
MUJI,Brush,3.8,₹290
Vega,Graduated Black Dressing Handmade Hair Comb for Men and Women - HMBC-101,4.1,₹170
MUJI,Portable Dress Cleaner,3.6,₹390
COLORBAR,Perfect Match BB Cream - 29 g,4,₹507
COLORBAR,Perfect Match BB Cream - 29 g,4,₹507
MUJI,Portable Razor,3.2,₹210
MUJI,Subdivided Bag,3.2,₹190
COLORBAR,Perfect Match BB Cream - 29 g,4,₹507
MUJI,Point Pressing Cone,4,₹690
Vega,Grooming Hair Comb India's No 1 Hair Comb Brand for Men and Women - 1267,4.4,₹99
MUJI,Earplug with Case,3.3,₹290
MUJI,Portable Sewing Set,4.5,₹350
MUJI,Identification Label for Petit Bottle,4.3,₹100
Yves Rocher,Relaxing Olive Oil & Petit Grass Shower Gel - 400 ml,4.5,₹295
MUJI,Slanted Blade Tweezers,3.6,₹590
MUJI,Double Fastener Case - Small,4.2,₹590
MUJI,Hard Contact Lens Case,4,₹360
MUJI,Booster Essence Lotion 50 ml,4.1,₹450
MUJI,Toe Separator,4.5,₹350
MUJI,Hair Cut Scissors,5,"₹1,490"
MUJI,Safety Scissors With Rounded Corners,4.3,"₹1,190"
